arabic,english,reference,category,origin
وَإِذۡ قُلۡنَا ٱدۡخُلُوا۟ هَـٰذِهِ ٱلۡقَرۡیَةَ فَكُلُوا۟ مِنۡهَا حَیۡثُ شِئۡتُمۡ رَغَدࣰا وَٱدۡخُلُوا۟ ٱلۡبَابَ سُجَّدࣰا وَقُولُوا۟ حِطَّةࣱ نَّغۡفِرۡ لَكُمۡ خَطَـٰیَـٰكُمۡۚ وَسَنَزِیدُ ٱلۡمُحۡسِنِینَ,"And [recall] when We said, ""Enter this city and eat from it wherever you will in [ease and] abundance, and enter the gate bowing humbly and say, 'Relieve us of our burdens.' We will [then] forgive your sins for you, and We will increase the doers of good [in goodness and reward].""",Al-Baqara 2:58,People of the Book,Madani
فَبَدَّلَ ٱلَّذِینَ ظَلَمُوا۟ قَوۡلًا غَیۡرَ ٱلَّذِی قِیلَ لَهُمۡ فَأَنزَلۡنَا عَلَى ٱلَّذِینَ ظَلَمُوا۟ رِجۡزࣰا مِّنَ ٱلسَّمَاۤءِ بِمَا كَانُوا۟ یَفۡسُقُونَ,"But those who wronged changed [those words] to a statement other than that which had been said to them, so We sent down upon those who wronged a punishment from the sky because they were defiantly disobeying.",Al-Baqara 2:59,People of the Book,Madani
۞ وَإِذِ ٱسۡتَسۡقَىٰ مُوسَىٰ لِقَوۡمِهِۦ فَقُلۡنَا ٱضۡرِب بِّعَصَاكَ ٱلۡحَجَرَۖ فَٱنفَجَرَتۡ مِنۡهُ ٱثۡنَتَا عَشۡرَةَ عَیۡنࣰاۖ قَدۡ عَلِمَ كُلُّ أُنَاسࣲ مَّشۡرَبَهُمۡۖ كُلُوا۟ وَٱشۡرَبُوا۟ مِن رِّزۡقِ ٱللَّهِ وَلَا تَعۡثَوۡا۟ فِی ٱلۡأَرۡضِ مُفۡسِدِینَ,"And [recall] when Moses prayed for water for his people, so We said, ""Strike with your staff the stone."" And there gushed forth from it twelve springs, and every people knew its watering place. ""Eat and drink from the provision of Allah, and do not commit abuse on the earth, spreading corruption.""",Al-Baqara 2:60,People of the Book,Madani
وَإِذۡ قُلۡتُمۡ یَـٰمُوسَىٰ لَن نَّصۡبِرَ عَلَىٰ طَعَامࣲ وَ ٰ⁠حِدࣲ فَٱدۡعُ لَنَا رَبَّكَ یُخۡرِجۡ لَنَا مِمَّا تُنۢبِتُ ٱلۡأَرۡضُ مِنۢ بَقۡلِهَا وَقِثَّاۤىِٕهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَاۖ قَالَ أَتَسۡتَبۡدِلُونَ ٱلَّذِی هُوَ أَدۡنَىٰ بِٱلَّذِی هُوَ خَیۡرٌۚ ٱهۡبِطُوا۟ مِصۡرࣰا فَإِنَّ لَكُم مَّا سَأَلۡتُمۡۗ وَضُرِبَتۡ عَلَیۡهِمُ ٱلذِّلَّةُ وَٱلۡمَسۡكَنَةُ وَبَاۤءُو بِغَضَبࣲ مِّنَ ٱللَّهِۗ ذَ ٰ⁠لِكَ بِأَنَّهُمۡ كَانُوا۟ یَكۡفُرُونَ بِـَٔایَـٰتِ ٱللَّهِ وَیَقۡتُلُونَ ٱلنَّبِیِّـۧنَ بِغَیۡرِ ٱلۡحَقِّۗ ذَ ٰ⁠لِكَ بِمَا عَصَوا۟ وَّكَانُوا۟ یَعۡتَدُونَ,"And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So call upon your Lord to bring forth for us from the earth its green herbs and its cucumbers and its garlic and its lentils and its onions."" [Moses] said, ""Would you exchange what is better for what is less? Go into [any] settlement and indeed, you will have what you have asked."" And they were covered with humiliation and poverty and returned with anger from Allah [upon them]. That was because they [repeatedly] disbelieved in the signs of Allah and killed the prophets without right. That was because they disobeyed and were [habitually] transgressing.",Al-Baqara 2:61,People of the Book,Madani
إِنَّ ٱلَّذِینَ ءَامَنُوا۟ وَٱلَّذِینَ هَادُوا۟ وَٱلنَّصَـٰرَىٰ وَٱلصَّـٰبِـِٔینَ مَنۡ ءَامَنَ بِٱللَّهِ وَٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَعَمِلَ صَـٰلِحࣰا فَلَهُمۡ أَجۡرُهُمۡ عِندَ رَبِّهِمۡ وَلَا خَوۡفٌ عَلَیۡهِمۡ وَلَا هُمۡ یَحۡزَنُونَ,"Indeed, those who believed and those who were Jews or Christians or Sabeans [before Prophet Muhammad] - those [among them] who believed in Allah and the Last Day and did righteousness - will have their reward with their Lord, and no fear will there be concerning them, nor will they grieve.",Al-Baqara 2:62,People of the Book,Madani
وَإِذۡ أَخَذۡنَا مِیثَـٰقَكُمۡ وَرَفَعۡنَا فَوۡقَكُمُ ٱلطُّورَ خُذُوا۟ مَاۤ ءَاتَیۡنَـٰكُم بِقُوَّةࣲ وَٱذۡكُرُوا۟ مَا فِیهِ لَعَلَّكُمۡ تَتَّقُونَ,"And [recall] when We took your covenant, [O Children of Israel, to abide by the Torah] and We raised over you the mount, [saying], ""Take what We have given you with determination and remember what is in it that perhaps you may become righteous.""",Al-Baqara 2:63,Fear of Allah (Taqwa),Madani
ثُمَّ تَوَلَّیۡتُم مِّنۢ بَعۡدِ ذَ ٰ⁠لِكَۖ فَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَیۡكُمۡ وَرَحۡمَتُهُۥ لَكُنتُم مِّنَ ٱلۡخَـٰسِرِینَ,"Then you turned away after that. And if not for the favor of Allah upon you and His mercy, you would have been among the losers.",Al-Baqara 2:64,General,Madani
وَلَقَدۡ عَلِمۡتُمُ ٱلَّذِینَ ٱعۡتَدَوۡا۟ مِنكُمۡ فِی ٱلسَّبۡتِ فَقُلۡنَا لَهُمۡ كُونُوا۟ قِرَدَةً خَـٰسِـِٔینَ,"And you had already known about those who transgressed among you concerning the sabbath, and We said to them, ""Be apes, despised.""",Al-Baqara 2:65,General,Madani
فَجَعَلۡنَـٰهَا نَكَـٰلࣰا لِّمَا بَیۡنَ یَدَیۡهَا وَمَا خَلۡفَهَا وَمَوۡعِظَةࣰ لِّلۡمُتَّقِینَ,And We made it a deterrent punishment for those who were present and those who succeeded [them] and a lesson for those who fear Allah.,Al-Baqara 2:66,General,Madani
وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِۦۤ إِنَّ ٱللَّهَ یَأۡمُرُكُمۡ أَن تَذۡبَحُوا۟ بَقَرَةࣰۖ قَالُوۤا۟ أَتَتَّخِذُنَا هُزُوࣰاۖ قَالَ أَعُوذُ بِٱللَّهِ أَنۡ أَكُونَ مِنَ ٱلۡجَـٰهِلِینَ,"And [recall] when Moses said to his people, ""Indeed, Allah commands you to slaughter a cow."" They said, ""Do you take us in ridicule?"" He said, ""I seek refuge in Allah from being among the ignorant.""",Al-Baqara 2:67,General,Madani
قَالُوا۟ ٱدۡعُ لَنَا رَبَّكَ یُبَیِّن لَّنَا مَا هِیَۚ قَالَ إِنَّهُۥ یَقُولُ إِنَّهَا بَقَرَةࣱ لَّا فَارِضࣱ وَلَا بِكۡرٌ عَوَانُۢ بَیۡنَ ذَ ٰ⁠لِكَۖ فَٱفۡعَلُوا۟ مَا تُؤۡمَرُونَ,"They said, ""Call upon your Lord to make clear to us what it is."" [Moses] said, ""[Allah] says, 'It is a cow which is neither old nor virgin, but median between that,' so do what you are commanded.""",Al-Baqara 2:68,General,Madani
قَالُوا۟ ٱدۡعُ لَنَا رَبَّكَ یُبَیِّن لَّنَا مَا لَوۡنُهَاۚ قَالَ إِنَّهُۥ یَقُولُ إِنَّهَا بَقَرَةࣱ صَفۡرَاۤءُ فَاقِعࣱ لَّوۡنُهَا تَسُرُّ ٱلنَّـٰظِرِینَ,"They said, ""Call upon your Lord to show us what is her color."" He said, ""He says, 'It is a yellow cow, bright in color - pleasing to the observers.' """,Al-Baqara 2:69,General,Madani
قَالُوا۟ ٱدۡعُ لَنَا رَبَّكَ یُبَیِّن لَّنَا مَا هِیَ إِنَّ ٱلۡبَقَرَ تَشَـٰبَهَ عَلَیۡنَا وَإِنَّاۤ إِن شَاۤءَ ٱللَّهُ لَمُهۡتَدُونَ,"They said, ""Call upon your Lord to make clear to us what it is. Indeed, [all] cows look alike to us. And indeed we, if Allah wills, will be guided.""",Al-Baqara 2:70,General,Madani
قَالَ إِنَّهُۥ یَقُولُ إِنَّهَا بَقَرَةࣱ لَّا ذَلُولࣱ تُثِیرُ ٱلۡأَرۡضَ وَلَا تَسۡقِی ٱلۡحَرۡثَ مُسَلَّمَةࣱ لَّا شِیَةَ فِیهَاۚ قَالُوا۟ ٱلۡـَٔـٰنَ جِئۡتَ بِٱلۡحَقِّۚ فَذَبَحُوهَا وَمَا كَادُوا۟ یَفۡعَلُونَ,"He said, ""He says, 'It is a cow neither trained to plow the earth nor to irrigate the field, one free from fault with no spot upon her.' "" They said, ""Now you have come with the truth."" So they slaughtered her, but they could hardly do it.",Al-Baqara 2:71,General,Madani
وَإِذۡ قَتَلۡتُمۡ نَفۡسࣰا فَٱدَّ ٰ⁠رَ ٰٔۡ ⁠تُمۡ فِیهَاۖ وَٱللَّهُ مُخۡرِجࣱ مَّا كُنتُمۡ تَكۡتُمُونَ,"And [recall] when you slew a man and disputed over it, but Allah was to bring out that which you were concealing.",Al-Baqara 2:72,General,Madani
فَقُلۡنَا ٱضۡرِبُوهُ بِبَعۡضِهَاۚ كَذَ ٰ⁠لِكَ یُحۡیِ ٱللَّهُ ٱلۡمَوۡتَىٰ وَیُرِیكُمۡ ءَایَـٰتِهِۦ لَعَلَّكُمۡ تَعۡقِلُونَ,"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs that you might reason.",Al-Baqara 2:73,General,Madani
ثُمَّ قَسَتۡ قُلُوبُكُم مِّنۢ بَعۡدِ ذَ ٰ⁠لِكَ فَهِیَ كَٱلۡحِجَارَةِ أَوۡ أَشَدُّ قَسۡوَةࣰۚ وَإِنَّ مِنَ ٱلۡحِجَارَةِ لَمَا یَتَفَجَّرُ مِنۡهُ ٱلۡأَنۡهَـٰرُۚ وَإِنَّ مِنۡهَا لَمَا یَشَّقَّقُ فَیَخۡرُجُ مِنۡهُ ٱلۡمَاۤءُۚ وَإِنَّ مِنۡهَا لَمَا یَهۡبِطُ مِنۡ خَشۡیَةِ ٱللَّهِۗ وَمَا ٱللَّهُ بِغَـٰفِلٍ عَمَّا تَعۡمَلُونَ,"Then your hearts became hardened after that, being like stones or even harder. For indeed, there are stones from which rivers burst forth, and there are some of them that split open and water comes out, and there are some of them that fall down for fear of Allah. And Allah is not unaware of what you do.",Al-Baqara 2:74,General,Madani
۞ أَفَتَطۡمَعُونَ أَن یُؤۡمِنُوا۟ لَكُمۡ وَقَدۡ كَانَ فَرِیقࣱ مِّنۡهُمۡ یَسۡمَعُونَ كَلَـٰمَ ٱللَّهِ ثُمَّ یُحَرِّفُونَهُۥ مِنۢ بَعۡدِ مَا عَقَلُوهُ وَهُمۡ یَعۡلَمُونَ,"Do you covet [the hope, O believers], that they would believe for you while a party of them used to hear the words of Allah and then distort the Torah after they had understood it while they were knowing?",Al-Baqara 2:75,General,Madani
وَإِذَا لَقُوا۟ ٱلَّذِینَ ءَامَنُوا۟ قَالُوۤا۟ ءَامَنَّا وَإِذَا خَلَا بَعۡضُهُمۡ إِلَىٰ بَعۡضࣲ قَالُوۤا۟ أَتُحَدِّثُونَهُم بِمَا فَتَحَ ٱللَّهُ عَلَیۡكُمۡ لِیُحَاۤجُّوكُم بِهِۦ عِندَ رَبِّكُمۡۚ أَفَلَا تَعۡقِلُونَ,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason?",Al-Baqara 2:76,General,Madani
أَوَلَا یَعۡلَمُونَ أَنَّ ٱللَّهَ یَعۡلَمُ مَا یُسِرُّونَ وَمَا یُعۡلِنُونَ,But do they not know that Allah knows what they conceal and what they declare?,Al-Baqara 2:77,General,Madani
وَمِنۡهُمۡ أُمِّیُّونَ لَا یَعۡلَمُونَ ٱلۡكِتَـٰبَ إِلَّاۤ أَمَانِیَّ وَإِنۡ هُمۡ إِلَّا یَظُنُّونَ,"And among them are unlettered ones who do not know the Scripture except in wishful thinking, but they are only assuming.",Al-Baqara 2:78,General,Madani
فَوَیۡلࣱ لِّلَّذِینَ یَكۡتُبُونَ ٱلۡكِتَـٰبَ بِأَیۡدِیهِمۡ ثُمَّ یَقُولُونَ هَـٰذَا مِنۡ عِندِ ٱللَّهِ لِیَشۡتَرُوا۟ بِهِۦ ثَمَنࣰا قَلِیلࣰاۖ فَوَیۡلࣱ لَّهُم مِّمَّا كَتَبَتۡ أَیۡدِیهِمۡ وَوَیۡلࣱ لَّهُم مِّمَّا یَكۡسِبُونَ,"So woe to those who write the ""scripture"" with their own hands, then say, ""This is from Allah,"" in order to exchange it for a small price. Woe to them for what their hands have written and woe to them for what they earn.",Al-Baqara 2:79,General,Madani
وَقَالُوا۟ لَن تَمَسَّنَا ٱلنَّارُ إِلَّاۤ أَیَّامࣰا مَّعۡدُودَةࣰۚ قُلۡ أَتَّخَذۡتُمۡ عِندَ ٱللَّهِ عَهۡدࣰا فَلَن یُخۡلِفَ ٱللَّهُ عَهۡدَهُۥۤۖ أَمۡ تَقُولُونَ عَلَى ٱللَّهِ مَا لَا تَعۡلَمُونَ,"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?""",Al-Baqara 2:80,Covenant & Promise,Madani
بَلَىٰۚ مَن كَسَبَ سَیِّئَةࣰ وَأَحَـٰطَتۡ بِهِۦ خَطِیۤـَٔتُهُۥ فَأُو۟لَـٰۤىِٕكَ أَصۡحَـٰبُ ٱلنَّارِۖ هُمۡ فِیهَا خَـٰلِدُونَ,"Yes, whoever earns evil and his sin has encompassed him - those are the companions of the Fire; they will abide therein eternally.",Al-Baqara 2:81,Paradise & Hell,Madani
وَٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ أُو۟لَـٰۤىِٕكَ أَصۡحَـٰبُ ٱلۡجَنَّةِۖ هُمۡ فِیهَا خَـٰلِدُونَ,But they who believe and do righteous deeds - those are the companions of Paradise; they will abide therein eternally.,Al-Baqara 2:82,Paradise & Hell,Madani
وَإِذۡ أَخَذۡنَا مِیثَـٰقَ بَنِیۤ إِسۡرَ ٰ⁠ۤءِیلَ لَا تَعۡبُدُونَ إِلَّا ٱللَّهَ وَبِٱلۡوَ ٰ⁠لِدَیۡنِ إِحۡسَانࣰا وَذِی ٱلۡقُرۡبَىٰ وَٱلۡیَتَـٰمَىٰ وَٱلۡمَسَـٰكِینِ وَقُولُوا۟ لِلنَّاسِ حُسۡنࣰا وَأَقِیمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ ثُمَّ تَوَلَّیۡتُمۡ إِلَّا قَلِیلࣰا مِّنكُمۡ وَأَنتُم مُّعۡرِضُونَ,"And [recall] when We took the covenant from the Children of Israel, [enjoining upon them], ""Do not worship except Allah; and to parents do good and to relatives, orphans, and the needy. And speak to people good [words] and establish prayer and give zakah."" Then you turned away, except a few of you, and you were refusing.",Al-Baqara 2:83,Ethics & Morality,Madani
وَإِذۡ أَخَذۡنَا مِیثَـٰقَكُمۡ لَا تَسۡفِكُونَ دِمَاۤءَكُمۡ وَلَا تُخۡرِجُونَ أَنفُسَكُم مِّن دِیَـٰرِكُمۡ ثُمَّ أَقۡرَرۡتُمۡ وَأَنتُمۡ تَشۡهَدُونَ,"And [recall] when We took your covenant, [saying], ""Do not shed each other's blood or evict one another from your homes."" Then you acknowledged [this] while you were witnessing.",Al-Baqara 2:84,Covenant & Promise,Madani
ثُمَّ أَنتُمۡ هَـٰۤؤُلَاۤءِ تَقۡتُلُونَ أَنفُسَكُمۡ وَتُخۡرِجُونَ فَرِیقࣰا مِّنكُم مِّن دِیَـٰرِهِمۡ تَظَـٰهَرُونَ عَلَیۡهِم بِٱلۡإِثۡمِ وَٱلۡعُدۡوَ ٰ⁠نِ وَإِن یَأۡتُوكُمۡ أُسَـٰرَىٰ تُفَـٰدُوهُمۡ وَهُوَ مُحَرَّمٌ عَلَیۡكُمۡ إِخۡرَاجُهُمۡۚ أَفَتُؤۡمِنُونَ بِبَعۡضِ ٱلۡكِتَـٰبِ وَتَكۡفُرُونَ بِبَعۡضࣲۚ فَمَا جَزَاۤءُ مَن یَفۡعَلُ ذَ ٰ⁠لِكَ مِنكُمۡ إِلَّا خِزۡیࣱ فِی ٱلۡحَیَوٰةِ ٱلدُّنۡیَاۖ وَیَوۡمَ ٱلۡقِیَـٰمَةِ یُرَدُّونَ إِلَىٰۤ أَشَدِّ ٱلۡعَذَابِۗ وَمَا ٱللَّهُ بِغَـٰفِلٍ عَمَّا تَعۡمَلُونَ,"Then, you are those [same ones who are] killing one another and evicting a party of your people from their homes, cooperating against them in sin and aggression. And if they come to you as captives, you ransom them, although their eviction was forbidden to you. So do you believe in part of the Scripture and disbelieve in part? Then what is the recompense for those who do that among you except disgrace in worldly life; and on the Day of Resurrection they will be sent back to the severest of punishment. And Allah is not unaware of what you do.",Al-Baqara 2:85,Covenant & Promise,Madani
